Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry
D,381900,438300,200,250,107.025,1030,9.95,0.9845,1.70595,36,176,997904.3346
D,381900,438300,107,200,234.085,960,21.722,6.3,3.73155,33,85,998061.1615
D,381900,438300,22.14,133.495,621.45,540,54.915,9.1,7.3645,8.5505,12.5455,998367.4395
D,381900,438300,5.1865,44.1295,198.215,7.5065,15.06,0.9784,2.4067,4.06335,3.4116,999475.0425
D,381900,438300,56,180,460,360,1.09915,7.8,0.17576,36,174,998450.9251
D,381900,438300,131,154,17.234,422,1.36205,14.4,1.9,30,198,998748.104
D,381900,438300,92,1040,1730,3570,4.587,10.3,2.8,162,950,992073.313
D,381900,438300,163,1320,1720,5250,9.693,19.6,1.2869,217,570,990396.4201
D,381900,438300,138,652,1230,4360,2.5876,13.7,0.54035,143,396,992761.1721
E,385400,473900,0.72,9.7,2.9484,954,4.7,3.2,0.070765,29,300,998504.6608
E,385400,473900,21.9,39,2.40325,1950,3.5,8.7,2.3,55,293,997376.1968
E,385400,473900,49.8,90,165,12100,18,39.1,4.53,360,1530,985324.57
E,385400,473900,54.8,93,251,11700,24.3,48.2,7.22,457,1860,985178.48
E,385400,473900,36.4,60.8,114,5320,14.4,51.5,3.89,221,1410,992502.01
E,385400,473900,15.8,37.1,80,2690,13.6,11.8,3.33,34,148,996691.37
E,385400,473900,53,82,129,6900,18,61.8,6.5,278,1080,991053.7
E,385400,473900,0.125235,47.6,14.5,7300,7,0.023599,4,480,2010,989875.7512
E,385400,473900,1.7,42,2.7839,10600,4.9,5.9,0.52,33.7,217,988837.4961
E,385400,473900,0.206025,75,6.359,19800,2.1449,5.8,1.1,67,350,979450.3901
E,385400,473900,1.84,66.4,6.583,17100,6.8,11.2,1.08,70.2,316,982211.797
E,385400,473900,1.61,60,9.354,18800,7.5,7.1,0.77,57.9,300,980501.766
E,385400,473900,44,32.6,4.80425,900,2.3,14.2,0.78,89,1810,996882.3158
E,385400,473900,35.3,322,372,696,20.5,56.7,15.6,290,819,997035.9
E,385400,473900,36.2,55,6.1055,2360,3,9.9,3.11,70,314,996937.6845
E,385400,473900,118,91,5.4365,2580,5,26.6,5.74,173,830,995897.2235
E,385400,473900,111,89,6.2995,2650,3.6,28,6.2,203,760,995864.9005
E,385400,473900,143,59.3,5.344,1770,1.01515,15,3.24,130,406,997204.1009
E,385400,473900,135,75,6.652,2280,1.26085,24,5.13,163,750,996297.9572
E,385400,473900,19.9,23,3.27185,1370,0.9663,4.4,1.29,31.8,163,998136.3719
E,385400,473900,19.3,47.8,13.1,5640,6.3,18.2,2.05,85,580,993357.25
E,385400,473900,32.2,67,21.8,7100,10.7,34,6.6,197,1270,990970.7
E,385400,473900,37,71.3,32,6170,10.9,43,5.76,167,850,992329.04
E,385400,473900,28.7,56.1,9.4,7010,12.4,27.2,4.69,168,1350,991063.51
E,385400,473900,23.5,51.5,3.07885,5450,9,25.1,4.74,144,1540,992503.0812
E,385400,473900,0.194645,0.7274,5.2595,2500,1.5307,3.5,0.15004,3.2,110,997136.4377
E,385400,473900,18.6,42.3,270,998,7.2,12,0.99,45,156,998206.91
E,385400,473900,44.6,80,760,933,8,18.5,2.73,79.8,2200,995632.37
E,385400,473900,50,69,2.1247,2180,3.4,15.2,4.9,97,600,996746.3753
E,385400,473900,69,225,380,234,1.9484,28,4,42,291,998416.0516
E,385400,473900,54.8,207,366,342,8.1,9.8,9.6,124,630,997962.7
E,385400,473900,185,39.5,8.8,258,1.86,8.5,0.54,27.5,790,998356.3
E,385400,473900,18.5,24.9,4.54055,446,4.5,18.2,1.27,41.9,500,998676.1895
E,385400,473900,5.2,97,6.715,6700,0.8252,0.24508,0.10979,22,200,992705.9049
E,385400,473900,6.6,99,38.132,3600,4.0633,0.304425,0.6063,0.33385,70,996000.9601
E,385400,473900,108,24.8,35,202,1.21945,0.84,1.01,10.1,66,999278.0306
E,385400,473900,21.1,159,9.7505,8400,4.1,1.98,2.44,46,279,990851.6295
E,385400,473900,58,49,7.083,570,2.2,7,1.3,21.1,0.184185,999073.1328
E,385400,473900,268,180,20.968,1890,2.79875,43,9.8,140,640,996445.4333
E,385400,473900,55,57,0.8784,1070,1.59,9.1,1.82,43.6,328,998162.0116
E,385400,473900,122,710,260,333,20.3,22.6,2.98,113,666,997318.12
E,385400,473900,50.4,59.2,28,430,3.5,18.1,0.55,27.1,2300,996773.15
E,385400,473900,22.8,72,14.8705,3200,1.371,8.5,0.2159,33,224,996181.2426
E,385400,473900,95.4,352,126,940,10.3,8.1,3.36,89,1220,996781.84
E,385400,473900,0.303425,1.36975,7.2275,19000,0.6106,0.03834,0.09359,0.0997,0.21627,980714.0408
E,385400,473900,78,165,30,12400,5.4,12.1,12.9,92,450,986370.6
E,385400,473900,2.0231,89,61.97,5600,4.256,5.1,1.64,22.8,123,993775.2109
E,385400,473900,173,256,74,4030,7.9,21.9,21.7,135,970,993916.5
E,385400,473900,290,8.4755,45.2555,760,95,14.3,0.46429,0.6332,73,998333.8715
E,385400,473900,23,63,117,1850,10.3,8.2,1.79,44,250,997269.71
E,385400,473900,100,177,188,3190,12.6,36.8,7.24,119,689,995016.36
E,385400,473900,300,4.6709,20.8755,0.6182,2.0272,0.17234,0.24457,0.329625,3.8515,998997.2102
E,385400,473900,209,349,119,2710,8.2,18.4,1.35,80.9,759,995380.15
E,385400,473900,2.3,53,10.484,4560,1.022,0.086405,0.12281,15.5,130,994907.4848
E,385400,473900,175,20,9.42,235,0.9209,0.64,0.28,21.1,630,998520.6391
E,385400,473900,64.4,205,474,227,41.3,12.8,1.59,17.1,178,998481.81
E,385400,473900,15.2,18,44.808,136,3.37535,3.4,0.41426,15.9,136,999357.9024
E,385400,473900,29.1,69.8,7.839,2360,0.5922,7.48,2.99,59.2,570,996554.9988
E,385400,473900,1.23015,6.897,33.769,1.2692,3.5506,0.214565,1.1268,18.2,280,999273.7427
E,385400,473900,2.5,37,17.941,4600,1.8909,2.1,0.5986,14.6,250,994753.3695
E,385400,473900,27.4,196,9.8805,11200,5.3,2,4.09,34.1,251,987947.2295
E,385400,473900,97,86,11.207,2680,8.4,5.3,0.37383,99,790,995910.7192
E,385400,473900,59.6,411,211,802,37,122,11.8,335,1050,996482.6
E,385400,473900,0.6784,26,18.591,2300,1.9772,0.117555,0.62005,8.6,225,997129.4158
